d1_idx,d1_date,year,reached_day2,true_breakdown,index_key,index_name,ma_window
838,2007-06-25,2007,False,False,sse50,上证50,20
842,2007-06-29,2007,True,True,sse50,上证50,20
894,2007-09-11,2007,True,False,sse50,上证50,20
905,2007-09-26,2007,False,False,sse50,上证50,20
921,2007-10-25,2007,True,False,sse50,上证50,20
928,2007-11-05,2007,True,True,sse50,上证50,20
956,2007-12-13,2007,False,False,sse50,上证50,20
958,2007-12-17,2007,True,True,sse50,上证50,20
979,2008-01-17,2008,True,True,sse50,上证50,20
1059,2008-05-20,2008,True,True,sse50,上证50,20
1098,2008-07-15,2008,True,True,sse50,上证50,20
1110,2008-07-31,2008,True,True,sse50,上证50,20
1190,2008-11-28,2008,True,True,sse50,上证50,20
1200,2008-12-12,2008,False,False,sse50,上证50,20
1207,2008-12-23,2008,True,True,sse50,上证50,20
1245,2009-02-24,2009,True,True,sse50,上证50,20
1285,2009-04-22,2009,True,True,sse50,上证50,20
1306,2009-05-22,2009,True,True,sse50,上证50,20
1359,2009-08-07,2009,True,True,sse50,上证50,20
1391,2009-09-22,2009,True,True,sse50,上证50,20
1432,2009-11-26,2009,True,True,sse50,上证50,20
1441,2009-12-09,2009,True,True,sse50,上证50,20
1461,2010-01-07,2010,True,False,sse50,上证50,20
1465,2010-01-13,2010,True,True,sse50,上证50,20
1503,2010-03-15,2010,True,False,sse50,上证50,20
1511,2010-03-25,2010,False,False,sse50,上证50,20
1522,2010-04-12,2010,False,False,sse50,上证50,20
1526,2010-04-16,2010,True,True,sse50,上证50,20
1574,2010-06-29,2010,True,True,sse50,上证50,20
1604,2010-08-10,2010,True,True,sse50,上证50,20
1612,2010-08-20,2010,True,True,sse50,上证50,20
1626,2010-09-09,2010,True,True,sse50,上证50,20
1662,2010-11-10,2010,False,False,sse50,上证50,20
1664,2010-11-12,2010,True,True,sse50,上证50,20
1690,2010-12-20,2010,False,False,sse50,上证50,20
1692,2010-12-22,2010,True,True,sse50,上证50,20
1745,2011-03-15,2011,False,False,sse50,上证50,20
1747,2011-03-17,2011,True,True,sse50,上证50,20
1772,2011-04-25,2011,True,True,sse50,上证50,20
1826,2011-07-12,2011,False,False,sse50,上证50,20
1831,2011-07-19,2011,True,True,sse50,上证50,20
1890,2011-10-18,2011,True,True,sse50,上证50,20
1911,2011-11-16,2011,True,True,sse50,上证50,20
1983,2012-03-06,2012,True,False,sse50,上证50,20
1987,2012-03-12,2012,False,False,sse50,上证50,20
1989,2012-03-14,2012,True,True,sse50,上证50,20
2026,2012-05-11,2012,True,True,sse50,上证50,20
2091,2012-08-13,2012,True,True,sse50,上证50,20
2117,2012-09-18,2012,True,True,sse50,上证50,20
2140,2012-10-26,2012,True,True,sse50,上证50,20
2149,2012-11-08,2012,True,True,sse50,上证50,20
2216,2013-02-21,2013,True,True,sse50,上证50,20
2239,2013-03-26,2013,True,True,sse50,上证50,20
2269,2013-05-14,2013,True,False,sse50,上证50,20
2284,2013-06-04,2013,True,True,sse50,上证50,20
2313,2013-07-18,2013,True,True,sse50,上证50,20
2360,2013-09-25,2013,True,True,sse50,上证50,20
2410,2013-12-11,2013,True,True,sse50,上证50,20
2457,2014-02-24,2014,True,True,sse50,上证50,20
2496,2014-04-21,2014,False,False,sse50,上证50,20
2498,2014-04-23,2014,True,True,sse50,上证50,20
2512,2014-05-15,2014,True,True,sse50,上证50,20
2536,2014-06-19,2014,True,True,sse50,上证50,20
2550,2014-07-09,2014,True,True,sse50,上证50,20
2556,2014-07-17,2014,True,True,sse50,上证50,20
2580,2014-08-20,2014,True,True,sse50,上证50,20
2598,2014-09-16,2014,True,False,sse50,上证50,20
2602,2014-09-22,2014,True,False,sse50,上证50,20
2612,2014-10-13,2014,True,True,sse50,上证50,20
2680,2015-01-19,2015,True,False,sse50,上证50,20
2686,2015-01-27,2015,True,True,sse50,上证50,20
2706,2015-03-03,2015,True,True,sse50,上证50,20
2749,2015-05-05,2015,True,True,sse50,上证50,20
2766,2015-05-28,2015,True,False,sse50,上证50,20
2778,2015-06-15,2015,True,True,sse50,上证50,20
2849,2015-09-25,2015,True,True,sse50,上证50,20
2870,2015-11-02,2015,True,False,sse50,上证50,20
2889,2015-11-27,2015,True,True,sse50,上证50,20
2910,2015-12-28,2015,False,False,sse50,上证50,20
2914,2016-01-04,2016,True,True,sse50,上证50,20
2947,2016-02-25,2016,True,True,sse50,上证50,20
2970,2016-03-29,2016,False,False,sse50,上证50,20
2977,2016-04-08,2016,False,False,sse50,上证50,20
2979,2016-04-12,2016,False,False,sse50,上证50,20
2986,2016-04-21,2016,False,False,sse50,上证50,20
2988,2016-04-25,2016,False,False,sse50,上证50,20
2990,2016-04-27,2016,True,True,sse50,上证50,20
3020,2016-06-13,2016,True,False,sse50,上证50,20
3023,2016-06-16,2016,True,True,sse50,上证50,20
3049,2016-07-22,2016,True,False,sse50,上证50,20
3053,2016-07-28,2016,True,True,sse50,上证50,20
3084,2016-09-09,2016,True,True,sse50,上证50,20
3144,2016-12-13,2016,True,True,sse50,上证50,20
3195,2017-03-02,2017,True,True,sse50,上证50,20
3214,2017-03-29,2017,True,False,sse50,上证50,20
3224,2017-04-14,2017,True,True,sse50,上证50,20
3266,2017-06-16,2017,False,False,sse50,上证50,20
3278,2017-07-04,2017,False,False,sse50,上证50,20
3301,2017-08-04,2017,True,True,sse50,上证50,20
3327,2017-09-11,2017,False,False,sse50,上证50,20
3330,2017-09-14,2017,True,True,sse50,上证50,20
3380,2017-11-30,2017,True,True,sse50,上证50,20
3399,2017-12-27,2017,True,True,sse50,上证50,20
3428,2018-02-07,2018,True,True,sse50,上证50,20
3494,2018-05-23,2018,True,True,sse50,上证50,20
3544,2018-08-02,2018,True,True,sse50,上证50,20
3568,2018-09-05,2018,True,True,sse50,上证50,20
